ID,Country,Total_cases,Total_deaths,Total_recovered,Active_cases,Serious,Total_Cases_Per_1M,Deaths,Total_tests,Tests_per_1M,Population
58,Kuwait,"346,560","1,903","326,102","18,555",267,"79,995",439,"2,893,320","667,856","5,139,615"
59,Azerbaijan,"335,676","4,965","329,870",841,,"32,818",485,"3,706,051","362,324","4,332,250"
60,Dominican Republic,"320,136","3,781","261,405","54,950",433,"29,225",345,"1,680,956","153,452","10,228,564"
61,Palestine,"313,015","3,555","306,532","2,928",6,"60,000",681,"1,878,685","360,112","10,954,282"
62,Denmark,"292,352","2,531","286,366","3,455",15,"50,300",435,"66,644,306","11,466,320","5,216,947"
63,Guatemala,"286,708","8,894","258,646","19,168",5,"15,720",488,"1,558,097","85,427","5,812,179"
64,Egypt,"279,184","16,002","208,192","54,990",90,"2,679",154,"2,869,589","27,535","18,238,878"
65,Lithuania,"278,590","4,375","267,055","7,160",48,"103,760","1,629","3,712,476","1,382,694","104,217,174"
66,Ethiopia,"275,601","4,296","257,429","13,876",185,"2,341",36,"2,839,867","24,121","2,684,958"
67,Ireland,"270,097","4,989","254,426","10,682",13,"54,109",999,"4,729,538","947,480","117,736,619"
68,Venezuela,"265,642","3,023","246,983","15,636",331,"9,368",107,"3,359,014","118,455","4,991,704"
69,Bahrain,"264,405","1,334","257,757","5,314",120,"150,315",758,"4,964,087","2,822,106","28,356,923"
70,Slovenia,"257,164","4,417","251,692","1,055",20,"123,683","2,124","1,339,018","644,001","1,759,001"
71,Honduras,"256,818","6,879","92,187","157,752",544,"25,533",684,"781,318","77,678","2,079,218"
72,Oman,"256,542","2,848","224,077","29,617",464,"49,023",544,"1,550,000","296,193","10,058,401"
73,Moldova,"256,387","6,180","249,381",826,45,"63,702","1,535","1,232,837","306,312","5,233,072"
74,Sri Lanka,"248,050","2,814","212,825","32,411",,"11,537",131,"3,743,577","174,110","4,024,769"
75,Thailand,"236,291","1,819","193,106","41,366","1,436","3,377",26,"8,129,670","116,185","21,501,168"
76,Armenia,"224,533","4,505","216,312","3,716",,"75,634","1,518","1,163,742","392,008","69,971,553"
77,Qatar,"221,378",587,"218,928","1,863",66,"78,844",209,"2,137,163","761,151","2,968,669"
78,Bosnia and Herzegovina,"204,936","9,653","181,199","14,084",,"62,849","2,960","1,022,709","313,638","2,807,805"
79,Libya,"191,660","3,185","177,106","11,369",,"27,527",457,"1,101,694","158,231","3,260,792"
80,Kenya,"181,239","3,538","123,462","54,239",113,"3,300",64,"1,926,973","35,083","6,962,571"
81,Cuba,"174,789","1,209","164,038","9,542",144,"15,441",107,"4,916,136","434,294","54,925,613"
82,Nigeria,"167,401","2,118","163,933","1,350",11,793,10,"2,266,591","10,736","11,319,839"
83,North Macedonia,"155,655","5,481","149,933",241,25,"74,716","2,631","863,994","414,726","211,114,860"
84,S. Korea,"153,789","2,009","145,389","6,391",143,"2,997",39,"10,466,545","203,977","2,083,290"
85,Myanmar,"150,714","3,275","134,589","12,850",,"2,752",60,"2,695,546","49,219","51,312,424"
86,Zambia,"140,620","1,855","115,898","22,867","1,243","7,446",98,"1,814,441","96,079","54,766,766"
87,Algeria,"137,403","3,669","95,599","38,135",24,"3,079",82,"230,861","5,174","18,884,842"
88,Latvia,"137,110","2,500","132,960","1,650",40,"73,489","1,340","2,866,851","1,536,597","44,623,632"
89,Albania,"132,499","2,455","129,966",78,3,"46,091",854,"787,103","273,802","1,865,714"
90,Estonia,"130,898","1,269","126,968","2,661",5,"98,612",956,"1,509,268","1,137,003","2,874,716"
91,Norway,"130,270",792,"88,952","40,526",6,"23,847",145,"6,043,353","1,106,291","1,327,409"
92,Kyrgyzstan,"118,106","1,958","106,858","9,290",102,"17,816",295,"1,256,790","189,582","5,462,715"
93,Afghanistan,"111,592","4,519","66,799","40,274","1,124","2,805",114,"584,230","14,686","6,629,264"
94,Uzbekistan,"107,708",723,"103,472","3,513",23,"3,173",21,"1,377,915","40,595","39,782,640"
95,Mongolia,"102,629",482,"66,602","35,545",126,"30,821",145,"3,191,735","958,528","33,942,945"
96,Montenegro,"100,131","1,609","98,243",279,6,"159,408","2,562","443,923","706,722","3,329,828"
97,Ghana,"95,259",794,"93,148","1,317",9,"3,005",25,"1,252,073","39,491","628,144"
98,Finland,"94,719",969,"46,000","47,750",5,"17,069",175,"5,364,635","966,748","31,705,274"
99,China,"91,693","4,636","86,571",486,14,64,3,"160,000,000","111,163","5,549,154"
100,Cameroon,"80,487","1,320","78,224",943,152,"2,960",49,"1,751,774","64,429","1,439,323,776"
101,Namibia,"78,723","1,279","62,026","15,418",94,"30,444",495,"504,284","195,020","27,189,310"
102,El Salvador,"77,484","2,351","71,603","3,530",28,"11,887",361,"1,044,841","160,295","2,585,801"
103,Uganda,"75,537",781,"50,350","24,406","1,127","1,602",17,"1,287,020","27,299","6,518,247"
104,Cyprus,"74,174",374,"72,199","1,601",19,"61,000",308,"7,595,445","6,246,465","47,144,871"
105,Mozambique,"73,652",863,"70,352","2,437",32,"2,294",27,"583,387","18,170","1,215,959"
106,Maldives,"72,678",207,"68,197","4,274",90,"132,182",376,"982,304","1,786,546","32,107,342"
107,Luxembourg,"70,586",818,"69,555",213,2,"110,998","1,286","3,051,416","4,798,435","549,834"
108,Botswana,"67,492","1,095","61,341","5,056",1,"28,146",457,"1,282,735","534,935","635,919"
109,Singapore,"62,493",35,"62,140",318,4,"10,600",6,"13,287,834","2,253,949","2,397,926"
110,Jamaica,"49,841","1,049","29,322","19,470",9,"16,760",353,"429,551","144,444","5,895,358"
111,Ivory Coast,"48,058",309,"47,511",238,,"1,779",11,"654,588","24,231","2,973,823"
112,Cambodia,"45,366",493,"40,010","4,863",,"2,677",29,"1,321,199","77,970","27,014,358"
113,Zimbabwe,"44,306","1,709","37,524","5,073",10,"2,939",113,"635,046","42,128","16,944,989"
114,Senegal,"42,677","1,159","41,058",460,9,"2,485",67,"554,892","32,311","15,074,235"
115,Madagascar,"42,166",905,"40,524",737,69,"1,486",32,"212,612","7,491","17,173,403"
116,DRC,"38,936",896,"28,115","9,925",,422,10,"191,736","2,079","28,384,048"
117,Angola,"38,091",881,"32,340","4,870",14,"1,125",26,"634,923","18,751","92,208,487"
118,Sudan,"36,574","2,750","30,423","3,401",,816,61,"234,414","5,227","33,859,982"
119,Malawi,"35,219","1,178","32,974","1,067",33,"1,796",60,"261,173","13,318","44,846,652"
120,Rwanda,"34,143",402,"26,865","6,876",18,"2,574",30,"1,583,612","119,384","19,611,170"
121,Cabo Verde,"32,257",285,"31,276",696,23,"57,408",507,"167,229","297,618","13,264,871"
122,Trinidad and Tobago,"31,429",775,"23,014","7,640",22,"22,386",552,"223,795","159,406","561,891"
123,Malta,"30,598",420,"30,151",27,,"69,118",949,"971,975","2,195,586","1,403,927"
124,Australia,"30,424",910,"29,307",207,1,"1,180",35,"20,107,841","779,704","442,695"
125,R_union,"29,502",226,"27,585","1,691",32,"32,723",251,"102,720","113,935","25,789,074"
126,French Guiana,"27,040",142,"9,995","16,903",35,"88,303",464,"280,668","916,563","901,564"
127,Syria,"25,287","1,859","21,774","1,654",,"1,412",104,"103,566","5,781","306,218"
128,Gabon,"24,958",159,"24,509",290,10,"10,961",70,"867,881","381,169","17,914,706"
129,Guinea,"23,615",168,"22,379","1,068",24,"1,752",12,"464,803","34,482","2,276,893"
130,Suriname,"20,723",490,"15,943","4,290",38,"35,018",828,"76,580","129,408","13,479,441"
131,Mauritania,"20,512",483,"19,548",481,16,"4,301",101,"298,189","62,532","591,773"
